date,customer_id,overdue_date
2024-12-31,6,2024-12-03
2024-12-31,7,2024-12-07
2024-12-31,8,2024-12-19
2024-12-31,21,2024-12-02
2024-12-31,22,2024-04-17
2024-12-31,30,2024-12-20
2024-12-31,31,2024-02-16
2024-12-31,32,2024-12-08
2024-12-31,33,2024-12-25
2024-12-31,37,2024-12-05
2024-12-31,45,2024-12-03
2024-12-31,51,2024-02-17
2024-12-31,54,2024-11-09
2024-12-31,70,2024-11-20
2024-12-31,71,2024-05-30
2024-12-31,74,2024-12-08
2024-12-31,77,2024-12-26
2024-12-31,78,2024-10-08
2024-12-31,79,2024-12-25
2024-12-31,87,2024-07-05
2024-12-31,91,2024-12-16
2024-12-31,93,2024-12-08
2024-12-31,110,2024-05-25
2024-12-31,118,2024-12-25
2024-12-31,123,2024-12-28
2024-12-31,136,2024-12-03
2024-12-31,156,2024-12-15
2024-12-31,163,2024-12-11
2024-12-31,166,2024-12-07
2024-12-31,173,2024-11-28
2024-12-31,183,2024-12-17
2024-12-31,191,2024-11-23
2024-12-31,195,2024-10-04
2024-12-31,209,2024-11-20
2024-12-31,237,2024-10-29
2024-12-31,246,2024-12-09
2024-12-31,249,2024-12-24
2024-12-31,250,2024-11-09
2024-12-31,271,2024-12-25
2024-12-31,278,2024-12-01
2024-12-31,296,2024-12-17
2024-12-31,298,2024-12-22
2024-12-31,306,2024-12-08
2024-12-31,310,2024-07-12
2024-12-31,335,2024-11-18
2024-12-31,352,2024-11-04
2024-12-31,355,2024-12-11
2024-12-31,362,2024-12-22
2024-12-31,366,2024-12-04
2024-12-31,371,2024-10-25
2024-12-31,373,2024-12-08
2024-12-31,381,2024-12-29
2024-12-31,387,2024-12-20
2024-12-31,395,2024-12-14
2024-12-31,408,2024-05-06
2024-12-31,436,2024-12-30
2024-12-31,451,2024-10-03
2024-12-31,454,2024-12-24
2024-12-31,461,2024-12-18
2024-12-31,479,2024-12-19
2024-12-31,480,2024-12-29
2024-12-31,481,2024-12-02
2024-12-31,488,2024-12-07
2024-12-31,499,2024-12-06
2024-12-31,509,2024-12-06
2024-12-31,516,2024-12-12
2024-12-31,526,2024-11-05
2024-12-31,528,2024-10-13
2024-12-31,536,2024-05-23
2024-12-31,538,2024-04-21
2024-12-31,567,2024-12-18
2024-12-31,583,2024-12-09
2024-12-31,587,2024-12-29
2024-12-31,603,2024-11-09
2024-12-31,611,2024-12-08
2024-12-31,639,2024-11-16
2024-12-31,644,2024-10-05
2024-12-31,645,2024-11-25
2024-12-31,648,2024-12-06
2024-12-31,659,2024-12-23
2024-12-31,661,2024-12-21
2024-12-31,664,2024-11-25
2024-12-31,674,2024-10-04
2024-12-31,719,2024-02-12
2024-12-31,720,2024-12-02
2024-12-31,734,2024-12-02
2024-12-31,746,2024-11-06
2024-12-31,750,2024-12-23
2024-12-31,760,2024-12-07
2024-12-31,775,2024-12-02
2024-12-31,781,2024-12-02
2024-12-31,784,2024-12-15
2024-12-31,799,2024-12-28
2024-12-31,800,2024-12-18
2024-12-31,823,2024-12-04
2024-12-31,838,2024-12-14
2024-12-31,861,2024-12-11
